#tab, d=300 nm, n=1
#nm  Qext    Qsca
465 5.10850 5.10850
466 5.05331 5.05331
467 4.99817 4.99817
468 4.94334 4.94334
469 4.88904 4.88904
470 4.83549 4.83549
471 4.78286 4.78286
472 4.73131 4.73131
473 4.68098 4.68098
474 4.63196 4.63196
475 4.58436 4.58436
476 4.53823 4.53823
477 4.49363 4.49363
478 4.45059 4.45059
479 4.40913 4.40913
480 4.36926 4.36926
481 4.33099 4.33099
482 4.29429 4.29429
483 4.25915 4.25915
484 4.22554 4.22554
485 4.19344 4.19344
486 4.16281 4.16281
487 4.13361 4.13361
488 4.10581 4.10581
489 4.07936 4.07936
490 4.05422 4.05422
491 4.03034 4.03034
492 4.00770 4.00770
493 3.98623 3.98623
494 3.96590 3.96590
495 3.94666 3.94666
496 3.92849 3.92849
497 3.91133 3.91133
498 3.89514 3.89514
499 3.87990 3.87990
500 3.86556 3.86556
501 3.85209 3.85209
502 3.83945 3.83945
503 3.82762 3.82762
504 3.81656 3.81656
505 3.80624 3.80624
506 3.79664 3.79664
507 3.78773 3.78773
508 3.77947 3.77947
509 3.77186 3.77186
510 3.76486 3.76486
511 3.75845 3.75845
512 3.75261 3.75261
513 3.74732 3.74732
514 3.74256 3.74256
515 3.73832 3.73832
516 3.73457 3.73457
517 3.73130 3.73130
518 3.72849 3.72849
519 3.72613 3.72613
520 3.72420 3.72420
521 3.72269 3.72269
522 3.72158 3.72158
523 3.72087 3.72087
524 3.72054 3.72054
525 3.72059 3.72059
526 3.72098 3.72098
527 3.72173 3.72173
528 3.72282 3.72282
529 3.72423 3.72423
530 3.72596 3.72596
531 3.72800 3.72800
532 3.73035 3.73035
533 3.73299 3.73299
534 3.73591 3.73591
535 3.73911 3.73911
536 3.74257 3.74257
537 3.74630 3.74630
538 3.75029 3.75029
539 3.75452 3.75452
540 3.75900 3.75900
541 3.76371 3.76371
542 3.76865 3.76865
543 3.77380 3.77380
544 3.77918 3.77918
545 3.78477 3.78477
546 3.79055 3.79055
547 3.79654 3.79654
548 3.80272 3.80272
549 3.80908 3.80908
550 3.81562 3.81562
551 3.82234 3.82234
552 3.82922 3.82922
553 3.83627 3.83627
554 3.84347 3.84347
555 3.85083 3.85083
556 3.85833 3.85833
557 3.86596 3.86596
558 3.87373 3.87373
559 3.88163 3.88163
560 3.88965 3.88965
561 3.89778 3.89778
562 3.90601 3.90601
563 3.91435 3.91435
564 3.92278 3.92278
565 3.93131 3.93131
566 3.93991 3.93991
567 3.94858 3.94858
568 3.95733 3.95733
569 3.96613 3.96613
570 3.97499 3.97499
571 3.98389 3.98389
572 3.99282 3.99282
573 4.00179 4.00179
574 4.01078 4.01078
575 4.01978 4.01978
576 4.02878 4.02878
577 4.03778 4.03778
578 4.04676 4.04676
579 4.05573 4.05573
580 4.06466 4.06466
581 4.07355 4.07355
582 4.08238 4.08238
583 4.09116 4.09116
584 4.09986 4.09986
585 4.10849 4.10849
586 4.11702 4.11702
587 4.12544 4.12544
588 4.13376 4.13376
589 4.14194 4.14194
590 4.14999 4.14999
591 4.15789 4.15789
592 4.16563 4.16563
593 4.17320 4.17320
594 4.18059 4.18059
595 4.18778 4.18778
596 4.19475 4.19475
597 4.20151 4.20151
598 4.20803 4.20803
599 4.21431 4.21431
600 4.22032 4.22032
601 4.22607 4.22607
602 4.23152 4.23152
603 4.23668 4.23668
604 4.24153 4.24153
605 4.24605 4.24605
606 4.25024 4.25024
607 4.25407 4.25407
608 4.25755 4.25755
609 4.26064 4.26064
610 4.26335 4.26335
611 4.26566 4.26566
612 4.26756 4.26756
613 4.26904 4.26904
614 4.27008 4.27008
615 4.27067 4.27067
616 4.27081 4.27081
617 4.27048 4.27048
618 4.26967 4.26967
619 4.26838 4.26838
620 4.26659 4.26659
621 4.26430 4.26430
622 4.26149 4.26149
623 4.25816 4.25816
624 4.25431 4.25431
625 4.24993 4.24993
626 4.24500 4.24500
627 4.23953 4.23953
628 4.23352 4.23352
629 4.22695 4.22695
630 4.21983 4.21983
631 4.21216 4.21216
632 4.20392 4.20392
633 4.19513 4.19513
634 4.18578 4.18578
635 4.17588 4.17588
636 4.16542 4.16542
637 4.15441 4.15441
638 4.14285 4.14285
639 4.13075 4.13075
640 4.11810 4.11810
641 4.10493 4.10493
642 4.09123 4.09123
643 4.07701 4.07701
644 4.06228 4.06228
645 4.04705 4.04705
646 4.03132 4.03132
647 4.01511 4.01511
648 3.99844 3.99844
649 3.98130 3.98130
650 3.96371 3.96371
651 3.94569 3.94569
652 3.92725 3.92725
653 3.90840 3.90840
654 3.88915 3.88915
655 3.86953 3.86953
656 3.84954 3.84954
657 3.82920 3.82920
658 3.80852 3.80852
659 3.78753 3.78753
660 3.76623 3.76623
661 3.74464 3.74464
662 3.72279 3.72279
663 3.70068 3.70068
664 3.67833 3.67833
665 3.65575 3.65575
666 3.63298 3.63298
667 3.61001 3.61001
668 3.58686 3.58686
669 3.56356 3.56356
670 3.54012 3.54012
