#AuJC, d=50 nm, n=1
#nm  Qext    Qsca
464 0.98061 0.04889
465 0.98119 0.04850
466 0.98204 0.04814
467 0.98317 0.04781
468 0.98463 0.04751
469 0.98646 0.04725
470 0.98868 0.04703
471 0.99135 0.04686
472 0.99446 0.04673
473 0.99799 0.04662
474 1.00191 0.04653
475 1.00621 0.04645
476 1.01091 0.04640
477 1.01599 0.04636
478 1.02145 0.04634
479 1.02728 0.04634
480 1.03348 0.04637
481 1.04005 0.04641
482 1.04698 0.04648
483 1.05426 0.04658
484 1.06189 0.04670
485 1.06986 0.04685
486 1.07816 0.04702
487 1.08678 0.04723
488 1.09571 0.04747
489 1.10494 0.04774
490 1.11445 0.04804
491 1.12421 0.04837
492 1.13421 0.04875
493 1.14443 0.04916
494 1.15483 0.04961
495 1.16537 0.05010
496 1.17603 0.05063
497 1.18691 0.05123
498 1.19804 0.05195
499 1.20931 0.05276
500 1.22056 0.05367
501 1.23163 0.05467
502 1.24233 0.05577
503 1.25247 0.05694
504 1.26185 0.05818
505 1.27025 0.05949
506 1.27745 0.06085
507 1.28322 0.06224
508 1.28735 0.06367
509 1.28966 0.06510
510 1.28995 0.06652
511 1.28809 0.06792
512 1.28397 0.06927
513 1.27753 0.07056
514 1.26877 0.07178
515 1.25774 0.07289
516 1.24454 0.07389
517 1.22935 0.07476
518 1.21238 0.07549
519 1.19390 0.07607
520 1.17422 0.07651
521 1.15367 0.07678
522 1.13199 0.07691
523 1.10893 0.07691
524 1.08472 0.07678
525 1.05957 0.07653
526 1.03369 0.07616
527 1.00729 0.07569
528 0.98055 0.07513
529 0.95364 0.07448
530 0.92672 0.07376
531 0.89994 0.07297
532 0.87341 0.07213
533 0.84724 0.07125
534 0.82151 0.07032
535 0.79630 0.06937
536 0.77167 0.06840
537 0.74766 0.06741
538 0.72430 0.06642
539 0.70161 0.06542
540 0.67961 0.06442
541 0.65829 0.06343
542 0.63767 0.06245
543 0.61772 0.06149
544 0.59843 0.06054
545 0.57978 0.05961
546 0.56175 0.05870
547 0.54431 0.05782
548 0.52745 0.05695
549 0.51112 0.05612
550 0.49534 0.05529
551 0.48010 0.05448
552 0.46538 0.05367
553 0.45117 0.05288
554 0.43744 0.05209
555 0.42420 0.05132
556 0.41141 0.05056
557 0.39907 0.04981
558 0.38715 0.04907
559 0.37566 0.04835
560 0.36455 0.04763
561 0.35384 0.04693
562 0.34349 0.04624
563 0.33350 0.04556
564 0.32385 0.04489
565 0.31454 0.04424
566 0.30553 0.04359
567 0.29684 0.04296
568 0.28843 0.04234
569 0.28031 0.04173
570 0.27246 0.04113
571 0.26486 0.04054
572 0.25752 0.03997
573 0.25041 0.03940
574 0.24354 0.03884
575 0.23688 0.03830
576 0.23044 0.03776
577 0.22419 0.03723
578 0.21815 0.03671
579 0.21229 0.03621
580 0.20661 0.03571
581 0.20110 0.03522
582 0.19576 0.03474
583 0.19058 0.03426
584 0.18559 0.03380
585 0.18076 0.03334
586 0.17611 0.03289
587 0.17161 0.03245
588 0.16726 0.03202
589 0.16306 0.03159
590 0.15901 0.03117
591 0.15509 0.03076
592 0.15130 0.03036
593 0.14764 0.02996
594 0.14410 0.02958
595 0.14068 0.02920
596 0.13737 0.02882
597 0.13417 0.02845
598 0.13107 0.02810
599 0.12807 0.02774
600 0.12516 0.02740
601 0.12235 0.02706
602 0.11962 0.02672
603 0.11698 0.02640
604 0.11441 0.02608
605 0.11193 0.02576
606 0.10951 0.02546
607 0.10717 0.02515
608 0.10489 0.02486
609 0.10268 0.02457
610 0.10052 0.02428
611 0.09843 0.02400
612 0.09639 0.02373
613 0.09440 0.02346
614 0.09247 0.02320
615 0.09058 0.02294
616 0.08874 0.02268
617 0.08694 0.02244
618 0.08518 0.02219
619 0.08347 0.02195
620 0.08179 0.02172
621 0.08015 0.02148
622 0.07854 0.02126
623 0.07697 0.02103
624 0.07544 0.02081
625 0.07395 0.02060
626 0.07248 0.02038
627 0.07105 0.02018
628 0.06966 0.01997
629 0.06830 0.01977
630 0.06697 0.01957
631 0.06567 0.01937
632 0.06441 0.01918
633 0.06317 0.01899
634 0.06197 0.01880
635 0.06079 0.01862
636 0.05965 0.01843
637 0.05853 0.01826
638 0.05745 0.01808
639 0.05639 0.01791
640 0.05536 0.01773
641 0.05436 0.01756
642 0.05339 0.01740
643 0.05244 0.01723
644 0.05152 0.01707
645 0.05063 0.01691
646 0.04976 0.01675
647 0.04892 0.01660
648 0.04811 0.01645
649 0.04732 0.01629
650 0.04655 0.01614
651 0.04581 0.01600
652 0.04510 0.01585
653 0.04440 0.01571
654 0.04374 0.01557
655 0.04309 0.01543
656 0.04247 0.01529
657 0.04187 0.01515
658 0.04130 0.01502
659 0.04074 0.01488
660 0.04021 0.01475
661 0.03970 0.01462
662 0.03919 0.01449
663 0.03871 0.01437
664 0.03823 0.01424
665 0.03777 0.01412
666 0.03731 0.01400
667 0.03687 0.01388
668 0.03644 0.01376
669 0.03603 0.01364
670 0.03562 0.01352
671 0.03522 0.01341
672 0.03483 0.01330
673 0.03445 0.01318
674 0.03408 0.01307
675 0.03372 0.01297
676 0.03337 0.01286
677 0.03302 0.01275
678 0.03269 0.01265
679 0.03236 0.01254
680 0.03203 0.01244
681 0.03172 0.01234
682 0.03141 0.01224
683 0.03111 0.01214
684 0.03081 0.01204
685 0.03052 0.01194
686 0.03023 0.01185
687 0.02995 0.01175
688 0.02968 0.01166
689 0.02941 0.01157
690 0.02914 0.01148
691 0.02888 0.01139
692 0.02863 0.01130
693 0.02838 0.01121
694 0.02813 0.01112
695 0.02789 0.01103
696 0.02765 0.01095
697 0.02741 0.01086
698 0.02718 0.01078
699 0.02695 0.01070
700 0.02672 0.01062
701 0.02650 0.01053
702 0.02627 0.01045
703 0.02606 0.01037
704 0.02584 0.01030
705 0.02563 0.01022
706 0.02542 0.01014
707 0.02521 0.01007
708 0.02501 0.00999
709 0.02481 0.00992
710 0.02462 0.00984
711 0.02443 0.00977
712 0.02424 0.00970
713 0.02406 0.00962
714 0.02388 0.00955
715 0.02370 0.00948
716 0.02353 0.00941
717 0.02336 0.00935
718 0.02319 0.00928
719 0.02303 0.00921
720 0.02286 0.00914
721 0.02270 0.00908
722 0.02255 0.00901
723 0.02239 0.00895
724 0.02224 0.00888
725 0.02209 0.00882
726 0.02194 0.00876
727 0.02180 0.00870
728 0.02165 0.00863
729 0.02151 0.00857
730 0.02137 0.00851
731 0.02123 0.00845
732 0.02110 0.00839
733 0.02096 0.00833
734 0.02083 0.00828
735 0.02070 0.00822
736 0.02057 0.00816
737 0.02044 0.00811
738 0.02032 0.00805
739 0.02019 0.00799
740 0.02007 0.00794
741 0.01994 0.00789
742 0.01982 0.00783
743 0.01970 0.00778
744 0.01958 0.00773
745 0.01947 0.00767
746 0.01935 0.00762
747 0.01923 0.00757
748 0.01912 0.00752
749 0.01901 0.00747
750 0.01889 0.00742
751 0.01878 0.00737
752 0.01867 0.00732
753 0.01856 0.00727
754 0.01845 0.00722
755 0.01834 0.00717
756 0.01823 0.00713
757 0.01812 0.00708
758 0.01802 0.00703
759 0.01791 0.00699
760 0.01781 0.00694
761 0.01771 0.00690
762 0.01761 0.00685
763 0.01751 0.00681
764 0.01741 0.00676
765 0.01731 0.00672
766 0.01722 0.00667
767 0.01712 0.00663
768 0.01703 0.00659
769 0.01694 0.00655
770 0.01685 0.00650
771 0.01676 0.00646
772 0.01667 0.00642
773 0.01658 0.00638
774 0.01649 0.00634
775 0.01640 0.00630
776 0.01632 0.00626
777 0.01623 0.00622
778 0.01615 0.00618
779 0.01606 0.00614
780 0.01598 0.00610
781 0.01590 0.00606
782 0.01582 0.00603
783 0.01574 0.00599
784 0.01565 0.00595
785 0.01558 0.00591
786 0.01550 0.00588
787 0.01542 0.00584
788 0.01534 0.00581
789 0.01526 0.00577
790 0.01519 0.00573
791 0.01511 0.00570
792 0.01504 0.00566
793 0.01496 0.00563
794 0.01489 0.00560
795 0.01481 0.00556
796 0.01474 0.00553
797 0.01467 0.00549
798 0.01459 0.00546
799 0.01452 0.00543
800 0.01445 0.00540
801 0.01438 0.00536
802 0.01431 0.00533
803 0.01424 0.00530
804 0.01417 0.00527
805 0.01410 0.00524
806 0.01403 0.00520
807 0.01396 0.00517
808 0.01389 0.00514
809 0.01382 0.00511
810 0.01375 0.00508
811 0.01368 0.00505
812 0.01362 0.00502
813 0.01355 0.00499
814 0.01348 0.00496
815 0.01341 0.00493
816 0.01335 0.00491
817 0.01328 0.00488
818 0.01321 0.00485
819 0.01314 0.00482
820 0.01308 0.00479
821 0.01301 0.00476
822 0.01295 0.00474
823 0.01288 0.00471
824 0.01281 0.00468
825 0.01275 0.00466
826 0.01268 0.00463
827 0.01261 0.00460
828 0.01255 0.00458
829 0.01248 0.00455
