#Si, d=150 nm, n=1
#nm  Qext    Qsca
515 4.66658 4.38107
516 4.58791 4.31346
517 4.51212 4.24788
518 4.43920 4.18443
519 4.36911 4.12316
520 4.30180 4.06410
521 4.23724 4.00723
522 4.17538 3.95249
523 4.11610 3.89981
524 4.05931 3.84913
525 4.00490 3.80039
526 3.95279 3.75352
527 3.90288 3.70847
528 3.85511 3.66518
529 3.80939 3.62362
530 3.76567 3.58373
531 3.72390 3.54552
532 3.68406 3.50898
533 3.64612 3.47409
534 3.61005 3.44081
535 3.57582 3.40912
536 3.54341 3.37899
537 3.51281 3.35039
538 3.48398 3.32331
539 3.45693 3.29772
540 3.43162 3.27360
541 3.40806 3.25093
542 3.38622 3.22971
543 3.36607 3.20993
544 3.34759 3.19159
545 3.33078 3.17469
546 3.31561 3.15925
547 3.30209 3.14526
548 3.29022 3.13276
549 3.28001 3.12175
550 3.27145 3.11227
551 3.26458 3.10433
552 3.25944 3.09793
553 3.25605 3.09311
554 3.25445 3.08991
555 3.25469 3.08835
556 3.25682 3.08849
557 3.26091 3.09039
558 3.26702 3.09411
559 3.27522 3.09971
560 3.28562 3.10728
561 3.29829 3.11691
562 3.31331 3.12870
563 3.33079 3.14273
564 3.35085 3.15910
565 3.37363 3.17789
566 3.39925 3.19921
567 3.42788 3.22317
568 3.45965 3.24988
569 3.49475 3.27946
570 3.53335 3.31202
571 3.57566 3.34770
572 3.62190 3.38665
573 3.67228 3.42910
574 3.72703 3.47528
575 3.78641 3.52545
576 3.85068 3.57991
577 3.92017 3.63899
578 3.99519 3.70305
579 4.07613 3.77250
580 4.16339 3.84778
581 4.25736 3.92934
582 4.35848 4.01756
583 4.46727 4.11285
584 4.58427 4.21566
585 4.71007 4.32643
586 4.84525 4.44560
587 4.99038 4.57361
588 5.14606 4.71084
589 5.31282 4.85764
590 5.49116 5.01428
591 5.68137 5.18086
592 5.88366 5.35755
593 6.09821 5.54456
594 6.32509 5.74201
595 6.56414 5.94986
596 6.81496 6.16787
597 7.07687 6.39559
598 7.34875 6.63225
599 7.62905 6.87670
600 7.91568 7.12739
601 8.20581 7.38211
602 8.49555 7.63742
603 8.78000 7.88889
604 9.05333 8.13124
605 9.30889 8.35838
606 9.53938 8.56362
607 9.73720 8.73993
608 9.89488 8.88038
609 10.00563 8.97857
610 10.06389 9.02922
611 10.06628 9.02930
612 10.01183 8.97826
613 9.90150 8.87716
614 9.73835 8.72887
615 9.52718 8.53787
616 9.27419 8.30987
617 8.98647 8.05132
618 8.67151 7.76902
619 8.33675 7.46971
620 7.98919 7.15968
621 7.63529 6.84451
622 7.28079 6.52906
623 6.93045 6.21752
624 6.58808 5.91324
625 6.25662 5.61879
626 5.93819 5.33604
627 5.63422 5.06622
628 5.34558 4.81008
629 5.07264 4.56795
630 4.81544 4.33982
631 4.57372 4.12546
632 4.34702 3.92444
633 4.13475 3.73624
634 3.93620 3.56022
635 3.75064 3.39573
636 3.57729 3.24206
637 3.41539 3.09854
638 3.26417 2.96448
639 3.12290 2.83924
640 2.99087 2.72218
641 2.86743 2.61272
642 2.75193 2.51030
643 2.64381 2.41440
644 2.54250 2.32453
645 2.44751 2.24025
646 2.35836 2.16113
647 2.27462 2.08679
648 2.19589 2.01688
649 2.12179 1.95108
650 2.05200 1.88907
651 1.98611 1.83060
652 1.92380 1.77542
653 1.86487 1.72329
654 1.80912 1.67396
655 1.75639 1.62725
656 1.70650 1.58294
657 1.65931 1.54089
658 1.61467 1.50092
659 1.57246 1.46291
660 1.53256 1.42670
661 1.49472 1.39223
662 1.45869 1.35940
663 1.42435 1.32811
664 1.39158 1.29823
665 1.36026 1.26967
666 1.33029 1.24234
667 1.30160 1.21616
668 1.27409 1.19106
669 1.24769 1.16696
670 1.22232 1.14381
671 1.19783 1.12154
672 1.17410 1.10014
673 1.15112 1.07954
674 1.12889 1.05971
675 1.10742 1.04062
676 1.08668 1.02221
677 1.06669 1.00447
678 1.04743 0.98736
679 1.02890 0.97084
680 1.01109 0.95490
681 0.99389 0.93949
682 0.97719 0.92458
683 0.96101 0.91015
684 0.94535 0.89618
685 0.93021 0.88265
686 0.91560 0.86954
687 0.90150 0.85683
688 0.88794 0.84450
689 0.87489 0.83255
690 0.86237 0.82095
691 0.85031 0.80971
692 0.83861 0.79881
693 0.82727 0.78822
694 0.81624 0.77793
695 0.80551 0.76791
696 0.79505 0.75814
697 0.78485 0.74861
698 0.77489 0.73930
699 0.76515 0.73019
700 0.75562 0.72128
701 0.74620 0.71254
702 0.73684 0.70399
703 0.72757 0.69563
704 0.71845 0.68744
705 0.70950 0.67944
706 0.70076 0.67161
707 0.69226 0.66396
708 0.68402 0.65649
709 0.67608 0.64919
710 0.66845 0.64206
711 0.66108 0.63510
712 0.65388 0.62829
713 0.64684 0.62164
714 0.63996 0.61512
715 0.63321 0.60874
716 0.62660 0.60248
717 0.62011 0.59634
718 0.61375 0.59032
719 0.60750 0.58439
720 0.60135 0.57857
721 0.59527 0.57284
722 0.58921 0.56721
723 0.58321 0.56168
724 0.57726 0.55625
725 0.57139 0.55091
726 0.56560 0.54566
727 0.55991 0.54050
728 0.55432 0.53543
729 0.54885 0.53044
730 0.54350 0.52555
731 0.53825 0.52073
732 0.53306 0.51600
733 0.52795 0.51135
734 0.52292 0.50677
735 0.51798 0.50226
736 0.51313 0.49782
737 0.50839 0.49345
738 0.50376 0.48914
739 0.49924 0.48488
740 0.49485 0.48069
741 0.49056 0.47655
742 0.48632 0.47247
743 0.48214 0.46845
744 0.47802 0.46448
745 0.47396 0.46057
746 0.46996 0.45671
747 0.46601 0.45291
748 0.46212 0.44916
749 0.45829 0.44546
750 0.45451 0.44182
751 0.45075 0.43823
752 0.44697 0.43469
753 0.44318 0.43121
754 0.43942 0.42777
755 0.43568 0.42437
756 0.43200 0.42102
757 0.42838 0.41771
758 0.42484 0.41444
759 0.42140 0.41121
760 0.41807 0.40801
761 0.41481 0.40485
762 0.41160 0.40173
763 0.40842 0.39864
764 0.40528 0.39559
765 0.40217 0.39258
766 0.39911 0.38960
767 0.39608 0.38666
768 0.39309 0.38375
769 0.39013 0.38088
770 0.38722 0.37805
771 0.38430 0.37525
772 0.38136 0.37248
773 0.37841 0.36975
774 0.37547 0.36706
775 0.37255 0.36439
776 0.36966 0.36175
777 0.36682 0.35915
778 0.36404 0.35657
779 0.36133 0.35401
780 0.35871 0.35148
781 0.35614 0.34898
782 0.35361 0.34650
783 0.35110 0.34405
784 0.34862 0.34162
785 0.34616 0.33922
786 0.34373 0.33684
787 0.34132 0.33449
788 0.33894 0.33216
789 0.33658 0.32986
790 0.33425 0.32757
791 0.33191 0.32532
792 0.32954 0.32308
793 0.32715 0.32086
794 0.32477 0.31867
795 0.32239 0.31650
796 0.32004 0.31435
797 0.31773 0.31222
798 0.31547 0.31012
799 0.31327 0.30803
800 0.31114 0.30597
801 0.30906 0.30393
802 0.30701 0.30191
803 0.30497 0.29991
804 0.30296 0.29793
805 0.30097 0.29598
806 0.29899 0.29404
807 0.29704 0.29211
808 0.29510 0.29021
809 0.29318 0.28832
810 0.29128 0.28645
811 0.28940 0.28460
812 0.28754 0.28276
813 0.28570 0.28094
814 0.28388 0.27913
